Rok,Pravidelná doprava,Nepravidelná doprava,Ostatná doprava,Spolu,Object Id
2008,1753752,455000,9840,2218592,1
2009,1305505,398158,6355,1710018,2
2010,1233300,428988,3416,1665704,3
2011,1122907,457735,4422,1585064,4
2012,971009,442184,2817,1416010,5
2013,919730,450531,2817,1373078,6
2014,875322,477582,2721,1355625,7
2015,1074700,484871,4740,1564311,8
2016,1335007,417021,4780,1756808,9
2017,1373634,563067,5368,1942069,10
2018,1873019,414365,5328,2292712,11
2019,1886510,397390,6342,2290242,12
2020,368659,33266,3172,405097,13
2021,319589,156473,4090,480152,14
2022,1000831,398871,6582,1406284,15
